mol_id,smiles,logp
0,C(C=CBr)N,0.3
1,CCC(CO)Br,1.3
2,[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O,2.0
3,CCCOCCP,0.6
4,C(C(F)(F)F)F,1.7
5,[2H]C([2H])C(C)(C)Cl,1.8
6,CCCC(CI)O,2.0
7,CCCCCC[CH+]C,3.9
8,C(CO)NCCO,-1.4
9,CCCCP(C)P,1.1
10,C(O)OOOCO,-1.0
11,C1CC1CCP,1.4
12,COCCC(Cl)Cl,1.8
13,[2H]C1=CSC=C1[2H],1.8
14,CCCCCl,2.6
15,C(=O)C(N)Br,-0.3
16,C(=S)(S)[S-],1.5
17,C(C(CBr)S)Br,2.1
18,CCSCCCCN,1.0
19,CC(C)C(C)O,1.3
20,CCCOC(C)N,0.6
21,CCC[I-]I,3.5
22,CC[CH]CC(C)CC,4.3
23,CN(C)CCCBr,1.4
24,C(CO)COS,0.2
25,CC(C)NCCl,1.3
26,C=CC(P)P,0.4
27,COCCl,0.8
28,C(SF)SF,1.9
29,CC(=S)P,0.3
30,C[I-]CON,0.7
31,CCC[C@@H](CN)N,-0.3
32,C(F)(F)(S)Cl,2.0
33,CC(CO)SO,-0.3
34,CC(=C)CCl,2.1
35,CCI(C)NC,1.6
36,C(=S)(S)I,1.8
37,[2H]C(C(C)(C)C)N,1.0
38,CC(C(F)F)F,1.9
39,C(CP)CP,-0.1
40,C[C@H](CNC)OC,0.1
41,C(N)(S)S,0.1
42,COOOBr,1.1
43,C(CS)CBr,1.6
44,CC=PP,-1.1
45,CCC(C)CCF,2.8
46,CCCNP(C)C,0.6
47,C(N)(N)NP,-2.0
48,C[C@H](CCN)CO,-0.2
49,C(CSCCCl)N,0.5
50,C1CSSS1,1.1
51,CCC(NC)Cl,1.4
52,C(CC=S)CO,-0.1
53,COCCNPF,0.1
54,[2H]C([2H])([2H])C(C)(C)CO,1.3
55,[2H]C(P([3H])C)I,0.7
56,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CO,0.9
57,C1CC1OI,1.5
58,C([C@H](F)Br)O,0.8
59,CS(N)(Cl)Cl,1.7
60,[CH]C[C@H](CO)O,-0.2
61,CNCCN(C)N,-0.9
62,C(OS)OSI,1.8
63,C(P)P=O,-1.0
64,CC(C)N(F)F,1.2
65,CCC(C)OCO,0.8
66,CC(F)(F)Br,2.1
67,C[S+](C)CCO,0.2
68,[2H]C([2H])(C)CI,2.6
69,C(O)OOC=O,-0.4
70,C(OOSF)F,1.5
71,CC(C=C)S,1.6
72,CCC(C)CC[NH3+],1.5
73,CC(C)CCOCl,2.6
74,CN(C)NN(C)C,0.3
75,CCCCOC,1.7
76,CSOSS,1.4
77,C[NH2+]/C=C\S,0.6
78,CCCCCC[CH]C,3.9
79,CCC(C)[CH+]C,3.2
80,C1CO[PH2+]C1,0.1
81,CCC(CO)S,0.8
82,C=II,2.3
83,C1C(CO1)Cl,0.5
84,[2H]C(CCO)CO,-0.8
85,CNC(=S)[S-],0.7
86,C[C@H](CS)NC,0.5
87,C(O)OCS,-0.1
88,C[C@H](N)NI,-0.3
89,C[C@H]([C@H](C)S)S,1.7
90,C(C(CF)Cl)F,1.6
91,[3H]OOCCCCCC,1.9
92,C(S)[I-]S,1.8
93,CSCCCl,1.5
94,CCOC(N)N,-1.2
95,C=IC(S)S,2.1
96,CS(=S)O,2.2
97,CCCPCCC,1.7
98,COP(C)Cl,0.8
99,C(CN[NH3+])N[NH3+],-2.1
100,CP([O-])S,-0.2
101,CC(C)C(I)I,3.3
102,C1CNPN1,-0.8
103,CCC(C)C(C)C,3.4
104,CC1CC[C]C1,3.4
105,CCCCCOC,1.9
106,C(C(F)(F)F)O,0.4
107,C=CNSCN,0.4
108,[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])Br,2.8
109,COCCNCN,-1.2
110,C[C@@H](CCCO)O,0.0
111,CCCC(CCC)Br,3.6
112,CCCOCl,1.8
113,CC(CCNC)Cl,1.2
114,CCN(C)SS,1.6
115,CC(C)(C)SI,2.7
116,COCCSPO,-0.3
117,C(NCF)F,0.7
118,[2H]C([2H])([2H])CCCCBr,3.4
119,CC(C)([CH])C[CH],3.0
120,C(F)(F)(F)SS,2.2
121,CCO[C@H](C)CO,0.2
122,CCC=C.CC=CC,4.2
123,CCC[C@@H](C)[NH3+],1.0
124,CN(C)COO,-0.3
125,C(=O)(N)I,0.0
126,CC(C)NCCBr,1.4
127,CCCOCCl,1.7
128,C([C@H](F)Cl)Cl,1.9
129,CCSNSC,1.0
130,C[C]/C=C\[S-],1.7
131,CC(OC)Cl,1.2
132,CCNCI=N,1.5
133,CCS[S-],1.3
134,C(CPCP)PCP,-0.8
135,[2H]N([2H])CCCCN,-0.9
136,CCC[C@H](C)S,2.2
137,[3H]C1CCCNC1,0.8
138,C[C@H](COP)O,-0.3
139,C(CCO)CCBr,1.4
140,C([C+]=O)Br,0.5
141,CCCN(C)P,1.0
142,C(C(S)(S)S)O,0.5
143,CCCSCSC,2.5
144,CCCC(C)CO,1.8
145,C[C@H](CO)NP,-0.6
146,CSCSC=S,2.0
147,CCCC[C+](C)C,3.7
148,CONCI,0.6
149,COSS,1.0
150,C[C@@H](CN)NC,-0.7
151,C(CCF)CON,0.4
152,CC(C)OOCO,0.3
153,C(COP)CBr,1.1
154,C(CS)OCO,-0.2
155,C(O)[I-]S,0.8
156,CC(COC)NC,0.1
157,C[11CH-]I,2.1
158,C1C[SH+]CCO1,0.5
159,CC(CCF)NC,0.9
160,CC(C(F)F)Cl,2.1
161,[2H][12C]([2H])([2H])I,1.5
162,C(COCCN)N,-1.8
163,C(N)[I-]F,0.6
164,C(COCCO)O,-1.3
165,CC[C@@H](CCCl)Cl,2.7
166,C(C(F)(F)F)N,0.2
167,CCNNNNI,-0.2
168,CCSOOOS,1.5
169,CC[C@@H](C)CCS,2.7
170,C(N)(O)(F)F,-0.5
171,[CH2]C(F)(F)F,1.7
172,C[CH]CCC(C)C,3.7
173,C1CCPPCC1,0.7
174,C1CC[N-]CC1,0.8
175,C1CCSOC1,1.0
176,[2H]OCCSSCCO[2H],-0.5
177,CCCCCSBr,3.2
178,CCCN(C)C[18F],1.6
179,CC(O)P=O,-1.0
180,CCSC[C]=O,0.8
181,C([C@H](F)Br)Br,2.3
182,CC(C)N(C)[CH2-],1.1
183,C/C=C\CCCl,2.2
184,CC(S)I,1.7
185,C(CS)OOCN,-0.4
186,CSSCSS,1.7
187,CCPSN,0.0
188,C=CCCSN,0.8
189,C(CCOS)CO,0.6
190,CCCCOCCCC,3.2
191,CC(C)N(C)P,0.9
192,C1CCNNCC1,0.4
193,CS(=S)S,2.8
194,C(=N\I)\I,1.7
195,C(CO)NCF,-0.4
196,[3H]CCOCCS,0.7
197,C(SO)[I-]P,0.6
198,CC(C)OOOI,1.8
199,CCSSCF,1.7
200,CC(C)C(C)N,1.0
201,C(CBr)NCCI,1.7
202,CCCNSCCC,2.0
203,[2H]C1=CC=C(C=C1)[2H],2.1
204,CC=CCCS,1.9
205,C1C[CH]COC1,0.9
206,[2H]C([2H])(CC(C)C)O,1.2
207,COCCCOCl,1.1
208,CCC(N)SS,1.1
209,[13CH3]S(=O)[O-],-1.1
210,C[C@@H](COC)O,-0.2
211,C[C-](C)CCCC[CH2-],4.3
212,[2H]C(CCCC)CCCCC,5.0
213,C=CCCC[CH],3.4
214,[CH2]CC(S)S,1.9
215,C([C@H]([13CH2]O)O)O,-1.8
216,CCNP([O-])[O-],-1.1
217,CNC1SS1,0.5
218,C(OPO)POO,-1.2
219,CSOON=O,0.5
220,C(CCS)CS,1.5
221,CI1C[I-]1,2.9
222,C(OOCCl)Cl,1.5
223,CC(C)CSCO,1.6
224,C(F)SOO[O-],0.4
225,CC(CO)COO,-0.3
226,CCCC(CBr)F,2.6
227,C([13C@@H]([13CH2]O)O)O,-1.8
228,CNCP(C)C,-0.4
229,C(N)(N)(N)SN,-2.9
230,CN(CCCl)Cl,1.2
231,C(I)I,2.3
232,CCS(O)(O)O,-0.2
233,CSC(CO)O,-0.3
234,C1[CH]CNCN1,-0.4
235,[2H]C([2H])([2H])C(C([2H])([2H])[2H])P,0.7
236,COS[I-]O,0.9
237,C(CF)OCS,0.8
238,CC(C(C)S)[O-],1.8
239,CC(C)CCNO,1.0
240,C[C@H]([C@H](Cl)Br)Br,2.9
241,C(CCl)C(O)F,1.0
242,C(=O)C(F)Br,1.0
243,CC[CH]C(C)C,3.2
244,CCSC(C)P,1.4
245,C(OOO)I,0.4
246,C=CI=C,2.3
247,CC[CH]Br,2.1
248,C(C(CI)Br)O,1.5
249,[2H]C1=CSC=N1,0.4
250,C(C(CP)O)O,-1.4
251,CCCCSPC,1.6
252,C([C]=O)SCl,0.8
253,C(P)PSSN,-0.2
254,C(N)SNN,-1.4
255,C(C(CCl)Br)F,2.0
256,CC(OCS)Cl,1.6
257,CCCCC[I-]Cl,4.1
258,CCC(CCN)S,0.9
259,C[CH]SS,1.3
260,C(CSC=O)F,1.0
261,CSPSN,0.1
262,CN(C)CC[Cl+]C,0.9
263,C(=S)NSO,0.1
264,CSSCC[NH3+],0.0
265,C[CH-]C/C=C\C,2.6
266,CCOOP(O)O,-0.6
267,C1[CH]COCN1,-0.1
268,CN(COC)O,-0.3
269,C[C@@H]([CH2])CC(C)C,3.4
270,CCN(C)CCO,-0.1
271,CCP(CC)[S-],1.2
272,C[CH+]CC[C](N)O,0.5
273,CC[CH]C(C)P,1.6
274,C[C@H](CCCCl)Cl,2.6
275,CCOCOBr,1.3
276,C1CSP1S,0.6
277,CSCSCSC,2.4
278,CN(N)Cl,-0.1
279,C[C@H](CCOC)N,-0.1
280,[3H]N1CCNCC1,-1.5
281,C[CH]CCCOOC,1.9
282,C(C(O)ON)O,-1.9
283,C([C@H](CS)N)O,-1.0
284,[2H]C(=C)I,1.7
285,C=NCCCCl,2.3
286,CCCSSO,1.3
287,[CH2]CC(F)(F)F,2.2
288,C[C@@H](C(F)F)F,1.9
289,COCCP,-0.2
290,CC(C)([CH2-])CO,1.3
291,CCC[C@@H](O)Br,1.7
292,CC(P(C)C)S,0.8
293,CCCCC[C-]=C,4.0
294,C(CF)[C@@H](O)Cl,1.0
295,CN(C)C(N)N,-1.4
296,C(C[NH3+])CNCC[NH3+],-1.7
297,[CH2-]C([CH2+])CCCN,1.3
298,CC1SS1,1.2
299,CI(S)I,2.7
300,CCC([CH2])OCC,1.8
301,CCOCC[NH-],-0.5
302,CN(C)[S+](F)F,2.2
303,CCCC[C@@H](C)Cl,3.0
304,CNNCCCN,-1.0
305,C([CH]CBr)Br,2.4
306,C[N-]CCSC,0.4
307,[2H]C(CC)C([2H])(C([2H])([2H])C([2H])([2H])[2H])O,1.7
308,CC(CCCBr)F,2.5
309,[CH2+]CCS[O-],0.8
310,CP(C)CCCO,-0.4
311,C1CCC(C1)[O-],1.9
312,CCONCNC,-0.1
313,CP(CO)CO,-1.2
314,CNSS,0.7
315,CON(CO)OC,-0.2
316,C(CCCl)CO,0.8
317,C(=O)C(I)I,1.2
318,C=CNCCN,-0.1
319,[2H]C([2H])(CCCCBr)C([2H])([2H])Br,3.2
320,CCCC(NC)O,0.5
321,CCCCP(F)F,2.3
322,[2H]C([2H])(C([2H])(C)Cl)Cl,1.8
323,CCS[C](C)C,2.0
324,CCCOC[CH2+],1.3
325,CPPC,-0.2
326,C(C[O-])CCl,1.6
327,C(CC(O)O)CI,1.0
328,CS/C=C/C[CH2],2.0
329,COC(NN)S,-0.5
330,CSC(N)NN,-1.0
331,CCC(OC)F,1.5
332,CCC(C)C[N-]C,1.5
333,CCC(CC)SCC,3.1
334,C(NC(F)F)(F)F,1.7
335,C(CF)NCCI,1.2
336,[3H]CSOO[3H],0.0
337,CC[C@H](CN)F,0.6
338,C(CCl)CCl,2.0
339,CCNNNCC,0.1
340,CC(C(O)P)O,-0.9
341,[2H]C#CCBr,1.1
342,CC(C)(S)S,1.5
343,CC(COCO)O,-0.8
344,CON=NI,1.7
345,CCC[C](C)CC,3.7
346,C(C[PH+](O)[O-])N,-2.1
347,COCCCOOC,0.3
348,C(C(=O)[O-])[SH2+],0.8
349,C(CCI)CP,1.9
350,C[C@H](CO)S,0.3
351,CCC(C)PCC,1.6
352,C(C(Cl)Br)F,2.1
353,CCC(CC)CCl,2.9
354,CN([CH2+])CCCN,-0.3
355,[2H]C([2H])(CBr)CBr,2.4
356,CN(C)CCNF,-0.1
357,C(=S)(F)F,1.4
358,C1C(O1)Br,0.8
359,C[P+](C)(Cl)Cl,1.5
360,C(CCON)CON,-0.8
361,C(F)(Cl)(Cl)Br,2.7
362,C[C-](C)N(C)C,1.1
363,[2H]C([2H])([2H])OCCC[CH+]C,1.9
364,CCCC(CO)F,1.2
365,C=C(Cl)Br,2.4
366,C(CSSS)O,0.7
367,[3H]SI(C)F,2.4
368,C(CF)NCF,0.6
369,CCCCOOCC,1.7
370,CCCCCC[CH+]CC,4.5
371,C([C@H](Cl)Br)Br,2.5
372,CCOC(C)O[O],0.3
373,CCC(C)CCP,2.1
374,[C-](=S)PF,0.9
375,C(C(CCl)N)F,0.3
376,C1=NC=PP1,-1.2
377,[3H][C-](OC)SC,0.8
378,CSOCCl,1.2
379,CCCC[S-],2.3
380,C[CH-]C(C)C(C)C,3.4
381,CP(SC)SC,0.8
382,CC/C=C/CO,0.9
383,CC(C)[I-]F,2.9
384,CCC[C@H](C)CC,3.7
385,CCC(CCS)Cl,2.4
386,CCN(O)OC,0.2
387,C[N+](C)(C)O[11CH3],0.3
388,C[C@H](CON)N,-1.2
389,C1CCN[14CH2]C1,0.8
390,C(=O)SS,0.7
391,C(=NI)NI,1.1
392,C=CCCC=C,2.9
393,C(PP)Br,0.6
394,CCN(C)SC,1.1
395,C(CO)CP=O,-1.1
396,CCNC[C@@H](C)N,-0.3
397,C(CI)I,2.7
398,CPSCN,-0.5
399,[C@@H]([C@H](Cl)Br)(Cl)Br,3.3
400,[2H]C([2H])([2H])C([2H])([2H])[N+](=O)[O-],0.2
401,C(CN(O)[O-])N,-1.7
402,C(C(N)N)(N)N,-3.2
403,C(CN)C(N)O,-1.8
404,[2H]S(=P)C,1.0
405,CCC[C@H](C)I,3.4
406,CSSCCSSC,1.6
407,C(CI)NNN,-0.1
408,CP(C)NP(C)C,-0.4
409,CCCC(C)Br,2.7
410,C1CO[CH]OC1,-0.2
411,CNI(C)C,1.1
412,CC(F)(F)Cl,2.0
413,C(CO)N(N)N,-1.9
414,COCC(O)OC,-0.6
415,CCOC(C)OO,0.3
416,C(/C=C/N)Br,0.6
417,CCPC=CC,1.0
418,CC(=[18O])Cl,0.8
419,[2H][C]([2H])[Cl+]Cl,1.6
420,C(CO)[C@@H](O)Cl,0.0
421,C[C@@H](CNC)OC,0.1
422,C(COCN)CS,-0.1
423,C(=N/O)\I,0.9
424,CCOCOCC,0.8
425,C(CF)C(F)I,2.1
426,C(C(CO)CP)O,-1.2
427,CCOCCCP,0.5
428,C(NCl)ONN,-0.9
429,CNSNC,0.0
430,CC/C=C/C[19F],1.9
431,C(C(CN)CS)N,-1.1
432,CC(CC[CH2])Br,2.7
433,C=CCNCCl,1.1
434,CCCCC(C)[CH2],3.7
435,CC(C=O)S,0.4
436,C1CC1CC[NH],0.8
437,C[S+](C)CS,1.3
438,C(COCCF)N,-0.5
439,C(O)(Cl)([Cl+])[Cl+],1.5
440,CCCCOS,1.8
441,CCC(C)CN,1.0
442,CCN(C)CCF,1.0
443,CCCC(C)[CH],3.2
444,CCC(OCC)P,1.2
445,CCCCOCBr,2.5
446,CCCOP(O)O,-0.1
447,CCCC(C)OS,2.2
448,C(C[NH2+]CCO)[NH3+],-1.7
449,C[C@@H](CN)S,0.0
450,CC(CCCO)N,-0.3
451,C(CN)C(O)Cl,-0.3
452,CN(C)CCNO,-0.7
453,C(C(I)I)O,1.3
454,C[C@@H](CCOC)O,0.2
455,CCP(O)Cl,0.6
456,C(C(O)O)(N)O,-2.4
457,[2H]C([2H])([2H])C([2H])(C)NC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H],1.4
458,[2H][13C](C)([13C]([2H])(C)O)N,-0.5
459,CN(CO)OC,-0.3
460,[CH]([ClH+])Cl,1.5
461,[2H]C1(CNC(CN1)([2H])[2H])[2H],-1.5
462,CC1COOC1,0.7
463,CCCCC[C-](C)C,4.3
464,C(N)(S)Br,0.6
465,CCOCC(Cl)Cl,1.8
466,CC(C)(C)PCl,1.7
467,CP(CN)S,-0.4
468,C1=CC#[P+]C=C1,0.5
469,C=[C]CCCO,1.0
470,C[C@@H](CF)CBr,2.1
471,C(CI)CI,3.0
472,CCCCCOBr,2.8
473,COP(N)N,-1.5
474,CC1OOOO1,0.5
475,C(C(O)F)Br,0.8
476,CCCC=CS,2.2
477,[2H]N=I([2H])(C)I,2.9
478,CCN(CC)SC,1.4
479,CSPC=C,0.8
480,CCCCOCI,2.4
481,C[S+](C)CC=C,1.5
482,C(C=CCI)I,3.0
483,CCC(CC)SBr,3.3
484,CCSSS,1.8
485,C1O[I-]1,0.8
486,C(CS)OC=O,0.4
487,C(PP)Cl,0.5
488,[2H]C([2H])([2H])CCCCCCC,3.9
489,[2H]C([2H])(C([2H])([2H])C([2H])([2H])N)C([2H])([2H])N,-0.9
490,C[P+](C)(N)N,-1.5
491,[2H]C(C)(C)P=S,1.7
492,C(OBr)Br,1.9
493,C(CO)[C@@H](N)O,-1.6
494,CCCCCCC[CH2-],3.9
495,CCCCNCCl,1.7
496,CCC(CCl)NC,1.3
497,CCC(CC)S,2.4
498,CC(C)N(S)S,2.0
499,[2H][C@](C)(COC)N,-0.4
500,[2H]C([2H])(C)C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O,2.0
501,CCSCCCCl,2.2
502,C1C[C+](C1)C[O-],1.9
503,C(/C=C/I)S,1.7
504,C[C@@H](C(Cl)Cl)Br,2.8
505,CSCCCS,1.5
506,[2H]C([2H])(CO)Br,0.2
507,CC(C)CCCBr,3.0
508,CC(C)(C)OS,1.5
509,CC(Cl)Br,2.1
510,C1NCNSN1,-0.5
511,C(CCNI)CN,-0.1
512,CC(CCCl)Cl,2.2
513,C1N(O1)Br,0.7
514,C[C@H](CCBr)F,2.1
515,CC[C@H](CBr)OC,1.8
516,CCNCN(C)C,0.3
517,CCC[C@@H](CO)Cl,1.5
518,[CH+]1C(O1)CCl,0.5
519,C(CCBr)COP,1.4
520,COCCC(F)F,1.3
521,CCCC(C)[13CH3],3.2
522,C(C[NH3+])C[NH2+]CC[NH3+],-1.7
523,[2H]C([2H])([2H])C(CCCBr)C([2H])([2H])[2H],3.0
524,CCCC[P@@](C)S,1.7
525,CCSSCN,0.4
526,C(C(Cl)Cl)(P)Cl,2.0
527,[2H]C([2H])(CCC)Br,2.8
528,[CH2-]CCCCCCCC[CH2-],5.0
529,C[S+]C(=N)[NH],0.2
530,C[C@H](CCO)F,0.7
531,CC(C)COI,2.3
532,CC(C)[S+](C)C,1.7
533,CCCCSCNC,1.8
534,CC(C)[CH]Br,2.3
535,CCO[CH]OCC,0.8
536,[CH2+]C[N-]CC[O],-0.5
537,CCCCNCCCl,1.6
538,CCC(CCl)OC,1.6
539,CC/C=C\CC,2.5
540,C1COC1[S-],0.7
541,C1COC1Br,1.1
542,CCC(S)Br,2.3
543,CC(C)[CH]C=C,2.7
544,[2H]CC(C)C(C)CC,3.4
545,C[C@@H]([C@@H](Cl)Br)Br,2.9
546,[2H]C(=O)OCCC,0.8
547,[CH]CCCCBr,3.4
548,C1CN(C1)I,0.8
549,C1CCNNC1,0.0
550,COCCCCOC,0.6
551,CCC[CH]CCOO,1.9
552,C=[O+]CCCO,0.8
553,[13CH3]S(=O)O,-0.5
554,CC[NH2+]CCOCC,0.4
555,C1[C@@H](O1)CBr,0.8
556,CC(C)N(Br)Br,2.0
557,CN(CI)S,1.5
558,C(=CCl)OBr,2.1
559,CS[C]SC,1.6
560,C([35Cl])[35Cl],1.5
561,CC(S)SCO,1.1
562,[2H]C(CCCC)C([2H])([2H])C([2H])([2H])Br,4.4
563,CC[CH][NH2+]CC,1.1
564,[2H][13CH]([13C@@H](C([2H])([2H])O)O)O,-1.8
565,C=CSCN,0.5
566,[2H]C(C)C(C)Br,2.3
567,[2H]C([2H])(CCCC)Br,3.4
568,CSNCC=O,-0.2
569,CCCNNCN,-0.4
570,C1CC1CCN,0.8
571,C[C@H](C[C@H](C)Br)Br,3.0
572,CCCOP=O,0.5
573,CSC(N)NCl,0.1
574,CCCC[C@H](F)S,2.8
575,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C=O,1.1
576,CN(C)P(O)O,-0.8
577,CC(CCCP)N,0.1
578,CSOO[O-],0.0
579,CCCCC[NH],1.5
580,C(CF)C(O)Cl,1.0
581,[2H]C([2H])([2H])C(CC)(C([2H])([2H])[2H])O,0.9
582,CNSCC=C,0.9
583,CCCNCNC,0.4
584,C(CPO)C=O,-1.1
585,C1C(N1)CBr,0.4
586,CP(C)CCl,0.6
587,CC(C)(C)S,1.5
588,CC(CN)[S-],0.0
589,C1C(O1)CP,-0.4
590,CC(OC)ON,-0.3
591,CCC(CO)CS,1.0
592,C(CCCS)CCN,1.0
593,CCNC(O)O,-0.9
594,C(N)OOON,-1.4
595,[2H]CC([2H])(O)Cl,0.7
596,COCCCSO,0.2
597,CCC(S)I,2.2
598,COCCOCOO,-0.6
599,[CH2-]CCCC[CH2+],3.9
600,[2H]C1C(OC(C(O1)([2H])[2H])([2H])[2H])([2H])[2H],-0.3
601,CCCCCCOCl,3.2
602,C(CCl)OCCl,1.4
603,C(P)(P)Br,0.6
604,CSCCC=S,0.9
605,[2H]CC(CC)CF,2.3
606,C(NN(F)F)NF,-0.1
607,CCCC=[PH2+],-0.2
608,[2H]C1CCCCC1,3.4
609,C(C(F)Cl)F,1.7
610,C(C(N)(N)N)P,-2.8
611,CCSCN=C,2.5
612,COCCOP,-0.3
613,C(C(CS)O)F,0.2
614,C[C@H](F)I,1.8
615,C([C@@H](CCl)Cl)O,0.8
616,C(NI)[I-]SO,0.9
617,CCC[C@@H](N)I,1.3
618,C=NCCP,1.0
619,CC([CH])CCNC,1.5
620,C(CS)OCS,0.8
621,CCNNN(C)C,0.2
622,CS(C)(C)CCl,1.6
623,C(C(CS)CS)S,1.3
624,C(=S)OS,1.2
625,CCNNCN,-0.9
626,C(OO)OO,-1.0
627,C(ON)SSOP,0.0
628,CSPN,-0.4
629,CCCN(C)CP,0.9
630,CC(C[CH2])OO,0.9
631,CCO[CH][O+]=C,1.4
632,C(C(F)I)I,2.5
633,C(=NNO)Br,1.0
634,CCO[S+](C)C,1.3
635,C[NH+]C=CCl,1.1
636,C(CNCCBr)N,-0.4
637,C(P)(P)(Cl)Cl,0.9
638,CC(C)SCOC,1.6
639,C=NSN=C,3.5
640,C(=CI)P,0.9
641,[3H]COCCCC,1.7
642,CCN(C)PC,0.5
643,[CH2]N1CCCC1,0.9
644,CCC(C)NC[CH],1.4
645,CCI(C)I,3.6
646,CC(C)OPC,0.8
647,CCC[CH-]S,2.3
648,C(CC=O)CBr,0.8
649,CN(C)CNCN,-0.9
650,CCC(C)COC,1.8
651,[13CH2]([13CH]([13CH2]O)O)O,-1.8
652,CC[C@H](C)NOC,1.2
653,CCN(CC)CN,0.2
654,C1OCSCO1,0.6
655,CNSOO[O-],-0.2
656,CC(C)(C)PO,0.4
657,C(CO)N(Cl)Cl,0.2
658,CC(C[CH2])CCN,1.5
659,C(CCl)OCl,1.5
660,C(CCCCl)CCO,1.6
661,CC(CON)O,-0.9
662,C(C(=O)[O-])Cl,1.1
663,CN=IF,1.5
664,CCOCC[CH],1.3
665,CCCCCOCN,1.0
666,CCCC[C@@H](C)I,3.9
667,C1COSN1,0.1
668,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])NCCC,1.7
669,CC(CCCS)N,0.7
670,[CH2]CCCCCS,3.3
671,CCNSNCC,0.7
672,C(C(CN)O)N,-2.3
673,C[P+](=S)S,1.5
674,C[C@H](CO)Br,0.7
675,[2H]C1(C(O1)([2H])C([2H])([2H])Cl)[2H],0.5
676,CCC(P)P,0.6
677,C1NNCNN1,-1.1
678,[CH]=C(F)Br,1.9
679,COC1CS1,0.7
680,CCCC(CN)F,0.9
681,CCSSCCO,0.6
682,C(CO)C(S)S,0.6
683,[3H]C(C)(C)C(C)S,2.3
684,C=CCC[CH]O,1.0
685,C[NH+](C)C[NH+](C)C,0.4
686,C(O)(F)Br,0.9
687,CC(C)PI,1.6
688,CS/N=N/SC,1.5
689,C1CC(C1)CO,0.8
690,C(OI)(F)F,1.9
691,CCCON(C)C,1.2
692,C(/C=C/N)S,0.1
693,CC(C)C([CH2])O,1.3
694,CNCNCNCN,-1.7
695,CC(CS)CBr,2.1
696,CCCCCCNS,2.6
697,CCC(CCCl)Br,2.9
698,C1CC1CS,1.3
699,C(S)SCS,1.6
